pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
9rxi	H	NA	0	B	protein	NA	cathepsin d (a01 family)	HYDROLASE	01/28/26	Schistosoma mansoni Cathepsin D1 bound to Nb10C9	Lama glama; Schistosoma mansoni	lama glama		schistosoma mansoni	Parker, K., Clarke, J.D., Owens, R.J.	2.59	X-RAY DIFFRACTION	0.234	0.173	False	True	IGHV1	NA	NA	None	None	None	None	None
9rxi	E	NA	0	NA	NA	NA	NA	HYDROLASE	01/28/26	Schistosoma mansoni Cathepsin D1 bound to Nb10C9	Lama glama; Schistosoma mansoni	lama glama			Parker, K., Clarke, J.D., Owens, R.J.	2.59	X-RAY DIFFRACTION	0.234	0.173	False	True	IGHV1	NA	NA	None	None	None	None	None
9lme	C	NA	0	B	protein	NA	cd276 antigen	IMMUNE SYSTEM	01/21/26	Checkpoint regulator protein in complex with a nanobody	Homo sapiens; Lama glama	lama glama		homo sapiens	Chen, W.M., Sahili, A., Yew, W.N., Lescar, J.	2.404	X-RAY DIFFRACTION	0.210	0.178	False	True	IGHV3	NA	NA	None	None	None	None	None
9lme	F	NA	0	A	protein	NA	cd276 antigen	IMMUNE SYSTEM	01/21/26	Checkpoint regulator protein in complex with a nanobody	Homo sapiens; Lama glama	lama glama		homo sapiens	Chen, W.M., Sahili, A., Yew, W.N., Lescar, J.	2.404	X-RAY DIFFRACTION	0.210	0.178	False	True	IGHV3	NA	NA	None	None	None	None	None
9ho4	C	NA	0	A	protein	NA	frataxin mature form	OXIDOREDUCTASE	12/24/25	Crystal Structure of the Human Frataxin protein in complex with a tailored Camelid Nanobody 6B1	Homo sapiens; Lama glama	lama glama		homo sapiens	Garay-Alvarez, A., Molina, R., Hermoso, J.A.	1.76	X-RAY DIFFRACTION	0.175	0.151	False	True	IGHV1	NA	NA	None	None	None	None	None
9ho5	C	NA	0	A	protein	NA	frataxin mature form	OXIDOREDUCTASE	12/24/25	Crystal Structure of the Human Frataxin protein in complex with a tailored Camelid Nanobody 4A7	Homo sapiens; Lama glama	lama glama		homo sapiens	Garay-Alvarez, A., Molina, R., Hermoso, J.A.	1.5	X-RAY DIFFRACTION	0.210	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
9ho6	D	NA	0	A	protein	NA	frataxin mature form	OXIDOREDUCTASE	12/24/25	Crystal Structure of the Human Frataxin protein in complex with a tailored Camelid Nanobody 16C10	Homo sapiens; Lama glama	lama glama		homo sapiens	Garay-Alvarez, A., Molina, R., Hermoso, J.A.	2	X-RAY DIFFRACTION	0.227	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
9ho6	C	NA	0	B	protein	NA	frataxin mature form	OXIDOREDUCTASE	12/24/25	Crystal Structure of the Human Frataxin protein in complex with a tailored Camelid Nanobody 16C10	Homo sapiens; Lama glama	lama glama		homo sapiens	Garay-Alvarez, A., Molina, R., Hermoso, J.A.	2	X-RAY DIFFRACTION	0.227	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
9lad	B	NA	0	C	protein	NA	neuronal pentraxin-2	PROTEIN BINDING	12/10/25	Crystal structure of the complex between Neuronal Pentraxin 2 (NP2 PTX) and antibody fragment VHH N1	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Caaveiro, J.M.M., Yokoo, T., Tsumoto, K.	2.02	X-RAY DIFFRACTION	0.220	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
9m6j	A	NA	0	H	protein	NA	immunoglobulin g-binding protein a	IMMUNE SYSTEM	11/12/25	Crystal structure of S. aureus protein A bound to a camelid single-domain antibody	Camelidae; Staphylococcus aureus subsp. aureus NCTC 8325	camelidae		staphylococcus aureus subsp. aureus nctc 8325	Kong, Y., Shi, J.L., Wu, F.D., Zhao, T., Zhu, X.Y., Xu, Q.Y., Wang, R.B., Song, Y.D., Li, Q.X., Wang, Y.L., Gao, X.Y., Yang, Y.D., Wu, Y.L., Yang, Z.L., Yao, J.H., Ying, T.L.	2	X-RAY DIFFRACTION	0.226	0.192	False	True	IGHV1	NA	NA	None	None	None	None	None
